state,abbr,winner_Dparty,winner_Rparty,name_D1,name_D2,name_D3,name_D4,name_R1,name_R2,name_R3,name_R4,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,rating
Alabama,AL,1.2375,98.7625,Doug Jones,,,,Tommy Tuberville,,,,1.2375,,,,98.7625,,,,3
Alaska,AK,83.4475,16.5525,Jonathan Kreiss-Tomkins,,,,Bernadette Wilson,David Bronson,Candice English,,83.447498,,,,11.9725,4.5475,0.0325,,-2
Arizona,AZ,91.89,8.11,Katie Hobbs,,,,Andy Biggs,,,,91.890001,,,,8.11,,,,-2
Arkansas,AR,1.73,98.27,Fredrick Love,,,,Sarah Huckabee Sanders,,,,1.73,,,,98.269999,,,,3
California,CA,99.945,0.055,Xavier Becerra,,,,Steve Hilton,,,,99.945003,,,,0.055,,,,-3
Colorado,CO,99.8175,0.1825,Phil Weiser,,,,Victor Marx,,,,99.817502,,,,0.1825,,,,-3
Connecticut,CT,99.735,0.265,Ned Lamont,,,,Ryan Fazio,,,,99.734998,,,,0.265,,,,-3
Florida,FL,21.7125,78.2875,David Jolly,,,,Byron Donalds,,,,21.7125,,,,78.2875,,,,2
Georgia,GA,56.02,43.98,Keisha Bottoms,,,,Rick Jackson,,,,56.019998,,,,43.979999,,,,0
Hawaii,HI,99.995,0.005,Joshua Green,,,,Gary Cordery,,,,99.994999,,,,0.005,,,,-3
Idaho,ID,0.1025,99.8975,Terri Pickens,,,,Brad Little,,,,0.1025,,,,99.897498,,,,3
Illinois,IL,99.65,0.3475,J.B. Pritzker,,,,Darren Bailey,,,,99.650002,,,,0.3475,,,,-3
Iowa,IA,74.145,25.855,Rob Sand,,,,Zach Lahn,,,,74.145001,,,,25.854999,,,,-1
Kansas,KS,51.645,48.355,Cindy Holscher,,,,Ty Masterson,,,,51.644999,,,,48.355001,,,,0
Maine,ME,98.89,1.11,Hannah Pingree,,,,Bobby Charles,,,,98.890001,,,,1.11,,,,-3
Maryland,MD,99.995,0.005,Wes Moore,,,,Dan Cox,,,,99.994999,,,,0.005,,,,-3
Massachusetts,MA,99.965,0.035,Maura Healey,,,,Michael Minogue,,,,99.965,,,,0.035,,,,-3
Michigan,MI,93.93,6.07,Jocelyn Benson,,,,John James,,,,93.93,,,,6.07,,,,-2
Minnesota,MN,99.4825,0.5175,Amy Klobuchar,,,,Lisa Demuth,,,,99.482501,,,,0.5175,,,,-3
Nebraska,NE,3.6825,96.315,Lynne Walz,,,,Jim Pillen,,,,3.6825,,,,96.314996,,,,3
Nevada,NV,18.895,81.105,Aaron Ford,,,,Joe Lombardo,,,,18.895,,,,81.105,,,,2
New Hampshire,NH,6.3825,93.6175,Cinde Warmington,,,,Kelly Ayotte,,,,6.3825,,,,93.617499,,,,2
New Mexico,NM,99.4575,0.5425,Debra Haaland,,,,Gregg Hull,,,,99.457502,,,,0.5425,,,,-3
New York,NY,99.0075,0.9925,Kathy Hochul,,,,Bruce Blakeman,,,,99.007499,,,,0.9925,,,,-3
Ohio,OH,49.5525,50.4475,Amy Acton,,,,Vivek Ramaswamy,,,,49.5525,,,,50.4475,,,,0
Oklahoma,OK,5.72,94.28,Cyndi Munson,,,,Mike Mazzei,,,,5.72,,,,94.279999,,,,2
Oregon,OR,93.99,6.01,Tina Kotek,,,,Christine Drazan,,,,93.989998,,,,6.01,,,,-2
Pennsylvania,PA,99.845,0.155,Josh Shapiro,,,,Stacy Garrity,,,,99.844998,,,,0.155,,,,-3
Rhode Island,RI,99.645,0.3525,Helena Foulkes,,,,Aaron Guckian,,,,99.645001,,,,0.3525,,,,-3
South Carolina,SC,2.1275,97.8725,Jermaine Johnson,,,,Alan Wilson,,,,2.1275,,,,97.872502,,,,3
South Dakota,SD,0.45,99.55,Dan Ahlers,,,,Larry Rhoden,,,,0.45,,,,99.550003,,,,3
Tennessee,TN,0.1325,99.8675,Jerri Green,,,,Marsha Blackburn,,,,0.1325,,,,99.867499,,,,3
Texas,TX,14,86,Gina Hinojosa,,,,Greg Abbott,,,,14,,,,86.000001,,,,2
Vermont,VT,9.2275,90.7725,Amanda Janoo,,,,Phil Scott,,,,9.2275,,,,90.772498,,,,2
Wisconsin,WI,76.4825,23.5175,David Crowley,,,,Tom Tiffany,,,,76.482499,,,,23.5175,,,,-2
Wyoming,WY,0.005,99.995,Ken Casner,,,,Eric Barlow,,,,0.005,,,,99.994999,,,,3
