rank,status,prefix,markets,sides,qualified,live_skipped,n,median_ypd,median_spd,median_share_pct,median_touch,median_est_day,best,last_ts
1,ranked,spr/golf/tec,390,780,732,12,80,0.8988,0.001,0.025,1193.0,0.2104,"[{'market': 'tec-pga-ryder-2027-09-19-w-tie', 'side': 'SELL', 'ypd': 4.078, 'share_pct': 0.039, 'touch': 1233.5, 'px': 0.08, 'est_day': 0.3262, 'ts': 1789002068.5}, {'market': 'tec-lpga-solheim-2026-09-13-w-tie', 'side': 'SELL', 'ypd': 2.2174, 'share_pct': 0.011, 'touch': 7514.4, 'px': 0.08, 'est_day': 0.1774, 'ts': 1788775724.0}, {'market': 'tec-pga-ryder-2027-09-19-w-usa', 'side': 'SELL', 'ypd': 1.4055, 'share_pct': 0.066, 'touch': 158.4, 'px': 0.39, 'est_day': 0.5482, 'ts': 1788927539.9}, {'market': 'tec-lpga-solheim-2026-09-13-w-europe', 'side': 'SELL', 'ypd': 0.5078, 'share_pct': 0.015, 'touch': 5966.6, 'px': 0.48, 'est_day': 0.2438, 'ts': 1788791314.5}, {'market': 'tec-pga-ryder-2027-09-19-w-europe', 'side': 'SELL', 'ypd': 0.3836, 'share_pct': 0.025, 'touch': 1381.4, 'px': 0.54, 'est_day': 0.2071, 'ts': 1788997403.2}]",1789002068.5
2,ranked,spr/cricket/aec,292,584,484,28,80,0.3276,0.098,4.762,18.0,0.1488,"[{'market': 'aec-cplcr-bra-slk-2026-09-06', 'side': 'SELL', 'ypd': 5.195, 'share_pct': 86.029, 'touch': 0.1, 'px': 0.69, 'est_day': 3.5845, 'ts': 1788628874.1}, {'market': 'aec-cplcr-gaw-skanp-2026-09-06', 'side': 'SELL', 'ypd': 0.5638, 'share_pct': 8.659, 'touch': 0.1, 'px': 0.64, 'est_day': 0.3608, 'ts': 1788622959.8}, {'market': 'aec-cplcr-tkr-aabf-2026-09-02', 'side': 'SELL', 'ypd': 0.0078, 'share_pct': 0.107, 'touch': 673.6, 'px': 0.57, 'est_day': 0.0045, 'ts': 1788386276.7}, {'market': 'aec-cplcr-bra-tkr-2026-09-06', 'side': 'SELL', 'ypd': 0.0006, 'share_pct': 0.006, 'touch': 16886.6, 'px': 0.42, 'est_day': 0.0002, 'ts': 1788626849.6}, {'market': 'aec-cplcr-gaw-jka-2026-09-04', 'side': 'SELL', 'ypd': 0.0003, 'share_pct': 0.007, 'touch': 4548.0, 'px': 0.63, 'est_day': 0.0002, 'ts': 1788556831.2}]",1788628874.1
3,ranked,vmc-ussep,88,176,37,0,37,0.3161,0.391,8.333,2.0,0.015,"[{'market': 'vmc-ussep-mov-ma-dem-2026-09-01-mar10-15', 'side': 'BUY', 'ypd': 194.3593, 'share_pct': 46.258, 'touch': 0.5, 'px': 0.07, 'est_day': 13.6052, 'ts': 1788276728.5}, {'market': 'vmc-ussep-mov-ma-dem-2026-09-01-mar0-5', 'side': 'SELL', 'ypd': 4.8311, 'share_pct': 94.303, 'touch': 0.1, 'px': 0.01, 'est_day': 0.0483, 'ts': 1788849746.3}, {'market': 'vmc-ussep-mov-ma-dem-2026-09-01-mar25-30', 'side': 'SELL', 'ypd': 2.3529, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0471, 'ts': 1788902560.5}, {'market': 'vmc-ussep-mov-ma-dem-2026-09-01-mougte5', 'side': 'SELL', 'ypd': 1.4045, 'share_pct': 29.326, 'touch': 2.4, 'px': 0.01, 'est_day': 0.014, 'ts': 1788816208.2}, {'market': 'vmc-ussep-mov-ma-dem-2026-09-01-mar5-10', 'side': 'SELL', 'ypd': 1.1855, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.04, 'est_day': 0.0474, 'ts': 1788827120.7}]",1788955233.3
4,ranked,geo/treaty/dipcc,433,866,831,0,80,0.1838,0.039,0.351,66.0,0.0165,"[{'market': 'dipcc-us-iran-contnts-2026--enrmor', 'side': 'SELL', 'ypd': 73.5867, 'share_pct': 78.493, 'touch': 0.1, 'px': 0.05, 'est_day': 3.6793, 'ts': 1788953099.8}, {'market': 'dipcc-us-iran-contnts-2026--dilut', 'side': 'SELL', 'ypd': 8.1099, 'share_pct': 27.682, 'touch': 1.1, 'px': 0.16, 'est_day': 1.2976, 'ts': 1788974749.7}, {'market': 'dipcc-us-iran-contnts-2026--urnsur', 'side': 'SELL', 'ypd': 4.7968, 'share_pct': 9.21, 'touch': 7.6, 'px': 0.09, 'est_day': 0.4317, 'ts': 1788927299.8}, {'market': 'dipcc-us-iran-contnts-2026--enrcaplte5', 'side': 'SELL', 'ypd': 2.3138, 'share_pct': 9.934, 'touch': 9.0, 'px': 0.23, 'est_day': 0.5322, 'ts': 1789001527.9}, {'market': 'dipcc-us-iran-contnts-2026--irnfnd', 'side': 'SELL', 'ypd': 0.7949, 'share_pct': 2.374, 'touch': 41.1, 'px': 0.16, 'est_day': 0.1272, 'ts': 1788996690.8}]",1789001527.9
5,ranked,pol/venpol/opdc,64,128,127,0,80,0.1256,2.381,71.428,0.0,0.0377,"[{'market': 'opdc-delrod-venpres-2026-12-31', 'side': 'SELL', 'ypd': 1.0144, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.05, 'est_day': 0.0507, 'ts': 1788845415.9}, {'market': 'opdc-delrod-venpres-2027-06-30', 'side': 'SELL', 'ypd': 0.0897, 'share_pct': 50.0, 'touch': 1.0, 'px': 0.27, 'est_day': 0.0242, 'ts': 1788997067.8}]",1788997067.8
6,ranked,geo/goods/stsc,207,414,300,254,80,0.1098,0.023,0.097,1003.0,0.0046,"[{'market': 'stsc-hormuz-normal-2026-12-31', 'side': 'SELL', 'ypd': 0.6198, 'share_pct': 2.479, 'touch': 17.4, 'px': 0.3, 'est_day': 0.1859, 'ts': 1788230869.1}, {'market': 'stsc-bab-el-mandeb-clsd-2026-08-31', 'side': 'SELL', 'ypd': 0.1812, 'share_pct': 0.039, 'touch': 2586.6, 'px': 0.01, 'est_day': 0.0018, 'ts': 1788927299.8}, {'market': 'stsc-bab-el-mandeb-clsd-2026-12-31', 'side': 'SELL', 'ypd': 0.1131, 'share_pct': 0.549, 'touch': 181.2, 'px': 0.26, 'est_day': 0.0294, 'ts': 1789001527.9}, {'market': 'stsc-hormuz-normal-2026-09-30', 'side': 'SELL', 'ypd': 0.0834, 'share_pct': 0.056, 'touch': 1636.8, 'px': 0.05, 'est_day': 0.0042, 'ts': 1788229008.9}, {'market': 'stsc-hormuz-normal-aug31', 'side': 'SELL', 'ypd': 0.0019, 'share_pct': 0.0, 'touch': 398420.9, 'px': 0.01, 'est_day': 0.0, 'ts': 1788227148.9}]",1789001527.9
7,ranked,astatc-sea,112,224,151,0,80,0.1002,1.007,49.568,1.0,0.0511,"[{'market': 'astatc-sea-tor-rom-2026-09-14-ftts-none', 'side': 'SELL', 'ypd': 4.8391, 'share_pct': 91.827, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0968, 'ts': 1788840214.4}, {'market': 'astatc-sea-ven-fio-2026-09-11-ftts-none', 'side': 'SELL', 'ypd': 1.7061, 'share_pct': 99.006, 'touch': 0.0, 'px': 0.06, 'est_day': 0.1024, 'ts': 1788825978.2}, {'market': 'astatc-sea-nap-bol-2026-09-13-sh-btts', 'side': 'SELL', 'ypd': 0.952, 'share_pct': 99.003, 'touch': 0.0, 'px': 0.1, 'est_day': 0.0952, 'ts': 1788730269.8}, {'market': 'astatc-sea-sas-juv-2026-09-13-ftts-none', 'side': 'SELL', 'ypd': 0.5117, 'share_pct': 98.979, 'touch': 0.0, 'px': 0.2, 'est_day': 0.1023, 'ts': 1788816834.3}, {'market': 'astatc-sea-udi-laz-2026-09-07-sh-ftts-laz', 'side': 'SELL', 'ypd': 0.4956, 'share_pct': 4.762, 'touch': 20.0, 'px': 0.01, 'est_day': 0.005, 'ts': 1788813587.8}]",1789000665.0
8,ranked,mac/labor/urc,281,562,386,42,80,0.0907,0.04,0.669,50.0,0.0152,"[{'market': 'urc-usunemp-sa-august-2026-09-04-gt4pt3pct', 'side': 'SELL', 'ypd': 72.2958, 'share_pct': 31.81, 'touch': 2.1, 'px': 0.01, 'est_day': 0.723, 'ts': 1788521338.1}, {'market': 'urc-usunemp-sa-august-2026-09-04-gt4pt4pct', 'side': 'SELL', 'ypd': 2.2026, 'share_pct': 1.938, 'touch': 7.1, 'px': 0.02, 'est_day': 0.0441, 'ts': 1788517453.2}, {'market': 'urc-usunemp-sa-august-2026-09-04-gt4pt0pct', 'side': 'SELL', 'ypd': 1.238, 'share_pct': 43.579, 'touch': 0.0, 'px': 0.8, 'est_day': 0.9904, 'ts': 1788515473.1}, {'market': 'urc-usunemp-sa-august-2026-09-04-gt4pt5pct', 'side': 'SELL', 'ypd': 0.4612, 'share_pct': 0.203, 'touch': 392.1, 'px': 0.01, 'est_day': 0.0046, 'ts': 1788520378.0}, {'market': 'urc-usunemp-sa-august-2026-09-04-gt4pt2pct', 'side': 'SELL', 'ypd': 0.3622, 'share_pct': 3.984, 'touch': 16.0, 'px': 0.25, 'est_day': 0.0905, 'ts': 1788519418.0}]",1788521338.1
9,ranked,spr/football/aec,99,198,124,1,80,0.0645,0.005,0.078,1355.0,0.0191,"[{'market': 'aec-nfl-nyg-lar-2026-09-21', 'side': 'BUY', 'ypd': 32.5299, 'share_pct': 16.655, 'touch': 5.0, 'px': 0.24, 'est_day': 7.8072, 'ts': 1788419625.7}, {'market': 'aec-nfl-no-bal-2026-09-20', 'side': 'SELL', 'ypd': 20.4993, 'share_pct': 7.143, 'touch': 13.0, 'px': 0.245, 'est_day': 5.0223, 'ts': 1788570670.3}, {'market': 'aec-nfl-min-chi-2026-09-20', 'side': 'BUY', 'ypd': 18.3616, 'share_pct': 14.102, 'touch': 6.0, 'px': 0.36, 'est_day': 6.6102, 'ts': 1788496917.0}, {'market': 'aec-nfl-jax-den-2026-09-20', 'side': 'BUY', 'ypd': 17.2484, 'share_pct': 10.18, 'touch': 8.8, 'px': 0.415, 'est_day': 7.1581, 'ts': 1788553350.7}, {'market': 'aec-nfl-den-kc-2026-09-14', 'side': 'SELL', 'ypd': 8.3705, 'share_pct': 5.0, 'touch': 19.0, 'px': 0.42, 'est_day': 3.5156, 'ts': 1788862357.6}]",1788953829.0
10,ranked,pol/uscongress/scc,420,840,699,0,80,0.0644,0.06,0.749,58.0,0.0082,"[{'market': 'scc-senate-gop-2026-11-03-lte45', 'side': 'SELL', 'ypd': 54.9184, 'share_pct': 98.853, 'touch': 0.0, 'px': 0.02, 'est_day': 1.0984, 'ts': 1788997271.6}, {'market': 'scc-senate-gop-2026-11-03-48', 'side': 'SELL', 'ypd': 3.2789, 'share_pct': 45.249, 'touch': 1.2, 'px': 0.15, 'est_day': 0.4918, 'ts': 1788763356.7}, {'market': 'scc-hrep-rep-2026-11-03-gte230', 'side': 'SELL', 'ypd': 2.9626, 'share_pct': 30.634, 'touch': 0.1, 'px': 0.11, 'est_day': 0.3259, 'ts': 1788804954.5}, {'market': 'scc-hrep-rep-2026-11-03-gte235', 'side': 'SELL', 'ypd': 2.1049, 'share_pct': 3.957, 'touch': 24.3, 'px': 0.02, 'est_day': 0.0421, 'ts': 1788789075.1}, {'market': 'scc-hrep-rep-2026-11-03-gte180', 'side': 'BUY', 'ypd': 0.2463, 'share_pct': 16.181, 'touch': 3.2, 'px': 0.73, 'est_day': 0.1798, 'ts': 1788953440.0}]",1789001734.8
